Country,agricultural rate,armed forces size,birth rate,CO2 emissions,CPI,Fertility rate,forested area,gasoline price,gross primary education,gross tertiary deucation,infant mortality,life expectancy,maternal mortality ratio,minimum wage,health expenditure,physician ratio,labor force participation,tax revenue,total tax rate,unemployment rate,GDP per Capita,urban population rate,label
Malaysia,0.263,136000.0,0.1675,248289.0,121.46,0.02,0.6759999999999999,0.45,1.053,0.451,6.7,76.0,29.0,0.93,0.36700000000000005,1.51,0.643,0.12,0.387,0.0332,11239.78150436468,0.7543216810846236,1
Maldives,0.263,5000.0,0.142,1445.0,99.7,0.0187,0.033,1.63,0.971,0.312,7.4,78.6,53.0,0.01,0.16399999999999998,4.56,0.698,0.195,0.302,0.061399999999999996,10790.500236367438,0.4023802483458988,1
Mali,0.33799999999999997,18000.0,0.4154,3179.0,108.73,0.0588,0.038,1.12,0.756,0.045,62.0,58.9,562.0,0.23,0.46299999999999997,0.13,0.708,0.11599999999999999,0.545,0.0722,890.7372854890706,0.4313599871726726,0
Malta,0.324,2000.0,0.092,1342.0,113.45,0.0123,0.011000000000000001,1.36,1.05,0.543,6.1,82.3,6.0,5.07,0.371,2.86,0.5650000000000001,0.262,0.44,0.0347,29416.230606402427,0.946780383286283,1
Marshall Islands,0.639,0.0,0.2903,143.0,190.46095505617978,0.0405,0.7020000000000001,1.44,0.8470000000000001,0.237,27.4,65.2,160.39226519337018,2.0,0.1,0.42,0.6273806818181819,0.17800000000000002,0.659,0.06886363636363636,3763.8073854841728,0.7741661138609651,0
Mauritania,0.385,21000.0,0.3369,2739.0,135.02,0.045599999999999995,0.002,1.13,0.9990000000000001,0.05,51.5,64.7,766.0,0.53,0.48200000000000004,0.19,0.459,0.16573964497041424,0.67,0.09550000000000002,1677.9192526409197,0.5450699737675708,0
Mauritius,0.424,3000.0,0.102,4349.0,129.91,0.0141,0.19,1.12,1.011,0.406,13.6,74.4,61.0,0.38,0.507,2.53,0.583,0.19100000000000003,0.222,0.0667,11203.540584699034,0.4076602004723037,1
Mexico,0.546,336000.0,0.17600000000000002,486406.0,141.54,0.0213,0.33899999999999997,0.73,1.058,0.402,11.0,75.0,33.0,0.49,0.414,2.38,0.6070000000000001,0.131,0.551,0.0342,9985.29113811174,0.814408236023,0
Moldova,0.742,7000.0,0.10099999999999999,5115.0,166.2,0.0126,0.126,0.8,0.9059999999999999,0.39799999999999996,13.6,71.8,19.0,0.31,0.462,3.21,0.43100000000000005,0.177,0.387,0.0547,4498.520850289186,0.42726000578709583,0
Mongolia,0.715,18000.0,0.2413,25368.0,195.76,0.028999999999999998,0.08,0.72,1.04,0.6559999999999999,14.0,69.7,45.0,0.65,0.39299999999999996,2.86,0.5970000000000001,0.168,0.257,0.0601,4295.235024728952,0.6854299327755741,0
Montenegro,0.19,12000.0,0.1173,2017.0,116.32,0.0175,0.615,1.16,1.0,0.561,2.3,76.8,6.0,1.23,0.318,2.76,0.544,0.16573964497041424,0.222,0.14880000000000002,8832.036835938065,0.6715000072331335,0
Morocco,0.685,246000.0,0.1894,61276.0,111.07,0.0242,0.126,0.99,1.139,0.359,19.2,76.5,70.0,1.6,0.531,0.73,0.45299999999999996,0.219,0.45799999999999996,0.0902,3216.5667385160236,0.6224512984901882,0
