"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2021","1,119.58","1,116.83","1,122.39","1,114.95","","0.26%"
"05/10/2021","1,116.68","1,112.97","1,118.10","1,110.49","","0.49%"
"05/07/2021","1,111.23","1,120.45","1,123.67","1,109.48","","-0.81%"
"05/06/2021","1,120.28","1,125.02","1,127.02","1,119.63","","-0.39%"
"05/05/2021","1,124.72","1,125.94","1,128.30","1,122.18","","-0.09%"
"05/04/2021","1,125.77","1,120.50","1,128.92","1,118.84","","0.48%"
"05/03/2021","1,120.34","1,117.76","1,124.94","1,115.51","","0.28%"
"04/30/2021","1,117.16","1,107.81","1,119.45","1,106.52","","0.86%"
"04/29/2021","1,107.63","1,110.06","1,111.17","1,105.30","","-0.20%"
"04/28/2021","1,109.88","1,113.43","1,115.52","1,108.31","","-0.31%"
"04/27/2021","1,113.33","1,110.44","1,114.55","1,108.27","","0.28%"
"04/26/2021","1,110.27","1,115.85","1,116.95","1,108.96","","-0.40%"
"04/23/2021","1,114.72","1,120.18","1,121.54","1,113.94","","-0.36%"
"04/22/2021","1,118.79","1,116.70","1,121.69","1,114.13","","0.22%"
"04/21/2021","1,116.35","1,117.45","1,121.61","1,114.78","","-0.08%"
"04/20/2021","1,117.28","1,115.51","1,119.74","1,110.29","","0.17%"
"04/19/2021","1,115.33","1,117.05","1,120.26","1,112.94","","-0.10%"
"04/16/2021","1,116.50","1,116.85","1,121.57","1,113.06","","-0.02%"
"04/15/2021","1,116.68","1,116.26","1,119.82","1,113.01","","0.05%"
"04/14/2021","1,116.08","1,121.55","1,123.91","1,112.09","","-0.47%"
"04/13/2021","1,121.37","1,125.23","1,128.42","1,120.38","","-0.26%"
"04/12/2021","1,124.32","1,121.77","1,127.28","1,120.29","","0.30%"
"04/09/2021","1,120.98","1,116.75","1,122.58","1,113.15","","0.46%"
"04/08/2021","1,115.83","1,119.20","1,121.56","1,114.59","","-0.29%"
"04/07/2021","1,119.03","1,119.29","1,120.36","1,114.67","","-0.01%"
"04/06/2021","1,119.17","1,125.04","1,125.68","1,116.57","","-0.45%"
"04/05/2021","1,124.18","1,129.69","1,130.03","1,122.45","","-0.40%"
"04/02/2021","1,128.64","1,128.86","1,130.38","1,126.29","","-0.01%"
"04/01/2021","1,128.72","1,127.96","1,133.82","1,125.31","","0.14%"
"03/31/2021","1,127.17","1,133.54","1,134.68","1,125.32","","-0.48%"
"03/30/2021","1,132.59","1,132.56","1,136.29","1,131.42","","0.09%"
"03/29/2021","1,131.56","1,128.95","1,136.41","1,128.77","","0.27%"
"03/26/2021","1,128.52","1,135.24","1,136.09","1,128.07","","-0.58%"
"03/25/2021","1,135.12","1,135.40","1,138.02","1,131.93","","0.02%"
